0.00228656	0	0	0.00633623
0	0	0	0.00752129
0	0.0018878	0.00205006	0
0	0	0.122086	0
0	0	0.0748445	0
0.00147545	0.0100783	0	0
0.00493867	0.322953	0	0
0	0.364839	0	0
0	0	0.104144	0
0.0324649	0.34922	0	0
0	0	0.139063	0
0	0	0.133758	0
0	0	0.0755625	0
0.0212321	0.251637	0	0
0.0937491	0	0	0.00689203
0.0167449	0	0	0
0.08339	0.0687165	0	0
0	0	0.0279544	0.0284592
0.00381905	0	0	0.093414
0.00339336	0	0.00315012	0.0251888
0	0	0	0
0	0	0.0193207	0.0238964
0.011158	0.00571268	0	0.11632
0.00434992	0.0050481	0	0.183682
0.0164533	0	0	0
0	0	0	0.0590043
0	0.00258897	0	0.182161
0.0292349	0.00184976	0	0.012072
0.0285415	0.0180881	0	0.0767212
0.2019	0	0	0
0	0	0	0.179201
0.0167328	0	0	0
0.0786492	0.116549	0	0
0.165664	0.00544387	0	0
0.192256	0	0	0
0.00346313	0.235493	0	0
0	0	0.006302	0.0162033
0.00189838	0	0	0.00065108
