0.0380789	0	0	0.0725625
0	0	0	0.0820029
0	-0.0357848	0.0376538	0
0	0	0.348403	0
0	0	0.271571	0
0.0257751	-0.0930173	0	0
-0.0658172	-0.567706	0	0
0	-0.603624	0	0
0	0	0.321893	0
0.177671	-0.590191	0	0
0	0	0.372212	0
0	0	0.365003	0
0	0	0.273707	0
0.142672	-0.500753	0	0
-0.304996	0	0	0.078886
-0.127362	0	0	0
-0.287186	-0.260436	0	0
0	0	-0.165199	0.166708
0.0565837	0	0	-0.30446
0.0511239	0	-0.0495171	-0.155683
0	0	0	0
0	0	-0.136809	0.152596
-0.102063	0.0711779	0	-0.33998
-0.061207	0.0669398	0	-0.427828
-0.126051	0	0	0
0	0	0	-0.241777
0	0.0466204	0	-0.426215
-0.168142	0.0350132	0	-0.105789
-0.166308	-0.131493	0	-0.275471
-0.448459	0	0	0
0	0	0	-0.422656
-0.127472	0	0	0
-0.27876	-0.34004	0	0
-0.406119	0.0693046	0	0
-0.437881	0	0	0
0.0525818	-0.484423	0	0
0	0	-0.075027	0.124418
-0.0383787	0	0	-0.0186674
